License #,Dt,DBA Name,AKA Name,Facility Type,Inspection Date,License # - Flag
1,2010-06-04,HARVEST CRUSADES MINISTRIES,HARVEST CRUSADES MINISTRIES,SPECIAL EVENT,06/04/2010,Correct
2,2017-05-12,COSI,COSI,RESTAURANT,05/12/2017,Correct
9,2017-05-19,XANDO COFFEE & BAR / COSI SANDWICH BAR,XANDO COFFEE & BAR / COSI SANDWICH BAR,RESTAURANT,05/19/2017,Correct
40,2017-03-15,COSI,COSI,RESTAURANT,03/15/2017,Correct
43,2015-05-04,COSI,COSI,UNKNOWN,05/04/2015,Correct
62,2017-02-09,XANDO COFFEE & BAR / COSI SANDWICH BAR,XANDO COFFEE & BAR / COSI SANDWICH BAR,RESTAURANT,02/09/2017,Correct
85,2013-09-20,XANDO COFFEE & BAR / COSI SANDWICH BAR,XANDO COFFEE & BAR / COSI SANDWICH BAR,RESTAURANT,09/20/2013,Correct
99,2017-01-26,XANDO COFFEE & BAR / COSI SANDWICH BAR,COSI,RESTAURANT,01/26/2017,Correct
104,2012-04-04,VITO & NICK'S LOUNGE,VITO & NICK'S LOUNGE,UNKNOWN,04/04/2012,Correct
115,2016-12-28,JOHN SCHALLER,JOHN SCHALLER,RESTAURANT,12/28/2016,Correct
126,2017-02-24,"CAL'S 400 LIQUORS, INC.","CAL'S 400 LIQUORS, INC.",RESTAURANT,02/24/2017,Correct
139,2011-07-26,KILDARE LIQUORS,KILDARE LIQUORS,RESTAURANT,07/26/2011,Correct
143,2013-05-14,GEORGE BOZIC,GEORGE BOZIC,UNKNOWN,05/14/2013,Correct
146,2010-12-09,JEAN SAMOCKI,JEAN SAMOCKI,UNKNOWN,12/09/2010,Correct
147,2014-12-03,ISLANDS,ISLANDS,UNKNOWN,12/03/2014,Correct
149,2017-06-26,FOX'S BEVERLY PUB,FOX'S BEVERLY PUB,RESTAURANT,06/26/2017,Correct
153,2014-03-17,JEFFERY PUB,JEFFERY PUB,TAVERN,03/17/2014,Correct
158,2016-09-28,BURWOOD TAP,BURWOOD TAP,RESTAURANT,09/28/2016,Correct
164,2017-05-09,POTASH BROS. SUPERMARKET,POTASH BROS. SUPERMARKET,GROCERY STORE,05/09/2017,Correct
207,2016-10-12,RIVER SHANNON,RIVER SHANNON,RESTAURANT,10/12/2016,Correct
215,2016-04-05,KAREGIANES INC,KAREGIANES INC,UNKNOWN,04/05/2016,Correct
218,2012-06-18,LAURIE'S REST & COCKTAIL LOUNG,LAURIE'S REST & COCKTAIL LOUNG,RESTAURANT,06/18/2012,Correct
229,2010-08-13,69TH ST. CERTIFIED,69TH ST. CERTIFIED,UNKNOWN,08/13/2010,Correct
239,2010-08-24,OLD TIMERS REST & LOUNGE,OLD TIMERS REST & LOUNGE,RESTAURANT,08/24/2010,Correct
241,2017-05-12,HOP HAUS ROGERS PARK,HOP HAUS ROGERS PARK,RESTAURANT,05/12/2017,Correct
244,2014-12-11,HAROLD HANSON,HAROLD HANSON,UNKNOWN,12/11/2014,Correct
246,2013-01-14,C AND K LIQUOR INC,C AND K LIQUOR INC,GROCERY STORE,01/14/2013,Correct
