Location ID,Address,City,State,Zip,Latitude,Longitude,Location
0,,,IL,0,,,"-,-"
1,,CHICAGO,IL,60654,,,"-,-"
2,1 E 113TH ST,CHICAGO,IL,60628,41.6888481194004,-87.6228936894908,"41.688848119400404, -87.6228936894908"
3,1 E 83RD ST,CHICAGO,IL,60619,41.7435467578672,-87.62425218593408,"41.7435467578672, -87.6242521859341"
4,1 E DELAWARE PL,CHICAGO,IL,60611,41.899030981951704,-87.62819227491327,"41.8990309819517, -87.62819227491326"
5,1 E ERIE ST,CHICAGO,IL,60611,41.89396426830079,-87.62806283000644,"41.89396426830079, -87.62806283000644"
6,1 E JACKSON BLVD,CHICAGO,IL,60604,41.87811015649989,-87.62753454596945,"41.878110156499886, -87.62753454596945"
7,1 E PEARSON ST,CHICAGO,IL,60611,41.89741139011913,-87.6281518348007,"41.89741139011913, -87.6281518348007"
8,1 E WACKER DR,CHICAGO,IL,60601,41.88670755506981,-87.6278834784023,"41.886707555069805, -87.6278834784023"
9,1 Mccormick Place,Chicago,IL,60616,41.85104667463312,-87.62209308455374,"41.85104667463312, -87.62209308455373"
10,1 N DEARBORN ST,CHICAGO,IL,60602,41.882029806449154,-87.62925644446257,"41.88202980644916, -87.62925644446256"
11,1 N FRANKLIN ST,CHICAGO,IL,60606,41.881967467024346,-87.6351654428475,"41.881967467024346, -87.6351654428475"
12,1 N HALSTED ST,CHICAGO,IL,60661,41.881815631642034,-87.64721471704077,"41.88181563164203, -87.64721471704077"
13,1 N LA SALLE ST,CHICAGO,IL,60602,41.881990073783044,-87.63221287591374,"41.88199007378305, -87.63221287591374"
14,1 N OGDEN AVE,CHICAGO,IL,60607,41.881436906939314,-87.66592135954576,"41.88143690693931, -87.66592135954576"
15,1 N STATE ST FL,CHICAGO,IL,60602,41.88211763349539,-87.62767361218859,"41.88211763349539, -87.62767361218859"
16,1 N STATE ST,CHICAGO,IL,60602,41.88211763349539,-87.62767361218859,"41.88211763349539, -87.62767361218859"
17,1 N WACKER DR,CHICAGO,IL,60606,41.881951876486006,-87.63662034940236,"41.88195187648601, -87.63662034940238"
18,1 S DEARBORN ST,CHICAGO,IL,60603,41.88193667467421,-87.62925347991924,"41.88193667467421, -87.62925347991924"
19,1 S FRANKLIN ST,CHICAGO,IL,60606,41.881902750505866,-87.6351640597954,"41.88190275050587, -87.6351640597954"
20,1 S STATE ST,CHICAGO,IL,60603,41.88199519763546,-87.62764724522981,"41.88199519763546, -87.62764724522982"
21,1 S WACKER DR,CHICAGO,IL,60606,41.88188622746245,-87.63661833048016,"41.88188622746245, -87.63661833048015"
22,1 W DIVISION ST,CHICAGO,IL,60610,41.90383104554419,-87.62874004775949,"41.903831045544194, -87.6287400477595"
23,1 W GRAND AVE,CHICAGO,IL,60654,41.8915590423211,-87.62813937546483,"41.8915590423211, -87.62813937546481"
24,1 W RANDOLPH ST STE 1,CHICAGO,IL,60601,41.88438065063339,-87.62798704568728,"41.88438065063339, -87.62798704568728"
25,1 W RANDOLPH ST,CHICAGO,IL,60601,41.88438065063339,-87.62798704568728,"41.88438065063339, -87.62798704568728"
26,1 W WACKER DR,CHICAGO,IL,60601,41.88670422864661,-87.62805355978018,"41.88670422864661, -87.62805355978018"
27,1 W WASHINGTON ST,CHICAGO,IL,60602,41.883108627266935,-87.62794877080377,"41.883108627266935, -87.62794877080378"
28,10 E 55TH BLVD,CHICAGO,IL,60615,41.79475201439238,-87.62526127922544,"41.79475201439238, -87.62526127922546"
29,10 E CERMAK RD,CHICAGO,IL,60616,41.85294926113866,-87.62665273460308,"41.85294926113866, -87.62665273460308"
30,10 E CHICAGO AVE,CHICAGO,IL,60611,41.896792874374,-87.62778757841652,"41.896792874374, -87.62778757841652"
31,10 E DELAWARE PL,CHICAGO,IL,60611,41.89925505559848,-87.62783463799144,"41.89925505559848, -87.62783463799146"
32,10 E GRAND AVE,CHICAGO,IL,60611,41.8917914631124,-87.62765774119987,"41.8917914631124, -87.62765774119987"
33,10 E JACKSON BLVD,CHICAGO,IL,60604,41.87833154856475,-87.62732389735856,"41.87833154856475, -87.62732389735858"
34,10 N DEARBORN ST,CHICAGO,IL,60602,41.882215697947956,-87.6295562535779,"41.88221569794795, -87.6295562535779"
35,10 N KILBOURN AVE,CHICAGO,IL,60624,41.88090895475872,-87.73808517343443,"41.880908954758716, -87.73808517343443"
36,10 S CICERO AVE,CHICAGO,IL,60644,41.8801463617512,-87.74541259888285,"41.880146361751194, -87.74541259888284"
37,10 S CLINTON ST,CHICAGO,IL,60661,41.881558814908594,-87.64133122864601,"41.88155881490859, -87.64133122864602"
38,10 S DEARBORN ST FL,CHICAGO,IL,60603,41.881806960065425,-87.62954311539406,"41.88180696006542, -87.62954311539407"
39,10 S KEDZIE AVE,CHICAGO,IL,60612,41.880653180814576,-87.7062600612435,"41.880653180814576, -87.7062600612435"
40,10 S LA SALLE ST,CHICAGO,IL,60603,41.88167475683708,-87.63250418895821,"41.88167475683708, -87.63250418895821"
41,10 S RIVERSIDE PLZ,CHICAGO,IL,60606,41.88166428938293,-87.63888744408949,"41.881664289382925, -87.63888744408949"
42,10 S WACKER DR,CHICAGO,IL,60606,41.881722456809335,-87.63716361820066,"41.881722456809335, -87.63716361820067"
43,10 W 35TH ST,CHICAGO,IL,60616,41.831113423900035,-87.62699219850808,"41.83111342390004, -87.62699219850806"
44,10 W CHICAGO AVE,CHICAGO,IL,60654,41.89678143552784,-87.62861445726126,"41.896781435527835, -87.62861445726125"
45,10 W DIVISION ST,CHICAGO,IL,60610,41.904044783110855,-87.62908309648803,"41.90404478311085, -87.62908309648803"
46,10 W HUBBARD ST,CHICAGO,IL,60654,41.89016858549094,-87.62839433601951,"41.89016858549094, -87.62839433601951"
47,10 West Jackson Boulevard,Chicago,IL,60604,41.87828615621557,-87.62780446623054,"41.87828615621557, -87.62780446623054"
48,10-16 S WABASH AVE,CHICAGO,IL,60603,41.88181876616734,-87.62635317290135,"41.88181876616734, -87.62635317290135"
49,10-20 E DELAWARE PL,CHICAGO,IL,60611,41.89925505559848,-87.62783463799144,"41.89925505559848, -87.62783463799146"
50,10-20 E DELAWARE ST,CHICAGO,IL,60611,41.89925505559848,-87.62783463799144,"41.89925505559848, -87.62783463799146"
51,100 E 14TH STE 1207,CHICAGO,IL,60605,41.86422425830418,-87.62407456094904,"41.86422425830418, -87.62407456094904"
52,100 E 47TH ST,CHICAGO,IL,60653,41.809398169618895,-87.62275731970226,"41.809398169618895, -87.62275731970227"
53,100 E 79TH ST,CHICAGO,IL,60619,41.75111814085375,-87.62130733246569,"41.75111814085375, -87.62130733246569"
54,100 E CHESTNUT ST,CHICAGO,IL,60611,41.89847619293214,-87.62552375805996,"41.89847619293213, -87.62552375805997"
55,100 E ERIE ST,CHICAGO,IL,60611,41.894228848999006,-87.62538475899568,"41.894228848999006, -87.62538475899568"
56,100 E ONTARIO ST,CHICAGO,IL,60611,41.893426146707846,-87.62536202456768,"41.89342614670784, -87.62536202456768"
57,100 E WALTON ST,CHICAGO,IL,60611,41.90009662517738,-87.62535934070075,"41.90009662517738, -87.62535934070077"
58,100 N KEDZIE AVE,CHICAGO,IL,60612,41.88283231440965,-87.70631821355353,"41.882832314409654, -87.70631821355352"
59,100 N LA SALLE ST,CHICAGO,IL,60602,41.8832371751199,-87.63255557700786,"41.88323717511991, -87.63255557700788"
60,100 N RIVERSIDE PLZ,CHICAGO,IL,60606,41.88326585294293,-87.63876082126886,"41.88326585294293, -87.63876082126886"
61,100 N WESTERN (2400W),CHICAGO,IL,60612,41.88303657538589,-87.68663246860692,"41.883036575385894, -87.6866324686069"
62,100 S LARAMIE AVE,CHICAGO,IL,60644,41.87932841566754,-87.7551745471756,"41.87932841566754, -87.75517454717559"
63,100 S MORGAN ST,CHICAGO,IL,60607,41.880343779167475,-87.65213497538267,"41.880343779167475, -87.65213497538267"
64,100 S WACKER DR,CHICAGO,IL,60606,41.880557025143204,-87.63713177610846,"41.8805570251432, -87.63713177610846"
65,100 W 111TH ST,CHICAGO,IL,60628,41.692660628792865,-87.62594006085335,"41.692660628792865, -87.62594006085334"
66,100 W 87TH ST,CHICAGO,IL,60620,41.73637382027632,-87.62723156456728,"41.73637382027632, -87.62723156456728"
67,100 W GRAND AVE,CHICAGO,IL,60654,41.89173502037917,-87.63120168879202,"41.891735020379166, -87.63120168879202"
68,100 W MONROE ST,CHICAGO,IL,60603,41.88080527820392,-87.6309293321435,"41.88080527820392, -87.6309293321435"
69,100 W OAK ST,CHICAGO,IL,60610,41.900661338588364,-87.63142762199614,"41.900661338588364, -87.63142762199614"
70,100 W ONTARIO ST,CHICAGO,IL,60654,41.89333773718407,-87.63124449621306,"41.89333773718407, -87.63124449621304"
71,100 W RANDOLPH ST STE C-19,CHICAGO,IL,60601,41.88458626715457,-87.63101044588598,"41.88458626715456, -87.63101044588599"
72,100 W RANDOLPH ST,CHICAGO,IL,60601,41.88458626715457,-87.63101044588598,"41.88458626715456, -87.63101044588599"
73,100-110 N GREEN ST,CHICAGO,IL,60607,41.883142452067645,-87.64871469104679,"41.88314245206765, -87.64871469104679"
74,1000 E 76TH ST,CHICAGO,IL,60619,41.75692093731994,-87.6004125776412,"41.75692093731994, -87.60041257764121"
75,1000 N CALIFORNIA AVE,CHICAGO,IL,60622,41.899326985577204,-87.69693872504759,"41.899326985577204, -87.69693872504759"
76,1000 N CICERO AVE,CHICAGO,IL,60651,41.89872983060618,-87.74603871315406,"41.89872983060618, -87.74603871315406"
77,1000 N CLARK ST,CHICAGO,IL,60610,41.90061509602814,-87.63149875310962,"41.90061509602814, -87.63149875310962"
78,1000 N DAMEN AVE,CHICAGO,IL,60622,41.89959483143889,-87.67730373649819,"41.89959483143889, -87.67730373649819"
